,fecha_evento,tiempo_cmt,region,lat_cmt,lon_cmt,depth_cmt,id_evento,exp_cmt,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,Err,Ett,Epp,Ert,Erp,Etp,momento_sismico,strike_1,dip_1,rake_1,strike_2,dip_2,rake_2,Mw_cmt
90,2018/04/18,13:07:20.0,SOUTH ATLANTIC OCEAN    ,-0.38,-6.56,10.0,C201804181307A,23,5.220,-3.720,-1.510,0.444,1.650,-1.660,0.238,0.151,0.147,0.229,0.275,0.088,5.178,252,39,107,50,53,76.0,5.1
91,2018/04/19,06:34:47.1,SOUTHERN IRAN           ,28.36,51.62,10.0,C201804190634A,24,1.730,-1.440,-0.288,0.283,-1.160,2.020,0.049,0.038,0.045,0.096,0.120,0.04,2.765,276,44,40,154,63,126.0,5.6
92,2018/04/19,21:09:17.0,PRINCE EDWARD ISLANDS RE,-42.78,42.19,10.0,C201804192109A,25,-0.916,0.871,0.045,0.012,0.037,-0.228,0.008,0.007,0.009,0.022,0.025,0.007,0.924,107,45,-87,282,45,-93.0,5.9
93,2018/04/21,19:44:16.8,WESTERN INDIAN-ANTARCTIC,-48.92,123.61,10.0,C201804211944A,24,-5.270,5.400,-0.133,0.251,-0.140,-0.422,0.049,0.046,0.046,0.144,0.146,0.043,5.359,93,44,-92,276,46,-88.0,5.8
94,2018/04/22,16:59:16.6,TONGA ISLANDS           ,-15.42,-174.56,10.4,C201804221659A,24,-0.009,-1.090,1.100,-0.157,0.797,4.380,0.063,0.061,0.061,0.136,0.147,0.058,4.587,83,80,-1,173,89,-170.0,5.7
95,2018/04/23,08:13:58.0,NEAR NORTH COAST OF IRIA,-1.29,138.43,10.0,C201804230813A,24,2.120,-2.980,0.859,-1.170,0.457,0.426,0.050,0.039,0.046,0.067,0.088,0.03,2.878,83,34,70,287,59,103.0,5.6
96,2018/04/24,02:29:53.7,NEAR COAST OF NICARAGUA ,12.52,-87.75,47.0,C201804240229A,24,2.780,-2.070,-0.707,0.107,-0.330,1.630,0.050,0.035,0.045,0.025,0.034,0.028,2.990,299,43,83,129,48,97.0,5.6
97,2018/04/24,08:53:21.7,"HOKKAIDO, JAPAN REGION  ",43.36,145.74,79.9,C201804240853A,24,-1.440,1.440,-0.001,2.120,0.867,1.200,0.056,0.059,0.067,0.037,0.045,0.054,2.906,48,20,-109,248,71,-83.0,5.6
98,2018/04/24,21:57:00.0,SOUTH OF FIJI ISLANDS   ,-23.92,179.83,530.0,B201804242157A,24,-1.810,-0.391,2.200,-0.147,-2.070,-0.842,0.077,0.138,0.133,0.138,0.127,0.112,3.001,142,27,-125,0,68,-74.0,5.6
99,2018/04/26,16:55:58.2,NEAR NORTH COAST OF IRIA,-1.87,139.79,6.5,C201804261655A,24,1.700,-1.140,-0.560,0.030,-0.563,1.450,0.031,0.027,0.030,0.049,0.058,0.024,2.119,291,43,62,146,53,113.0,5.5
